2013-08-15 09:12:54 | 172.16.8.3 | Login: bong logged in.
2013-08-15 09:13:23 | 172.16.8.3 | Logout: bong logged out.
2013-08-15 09:13:29 | 172.16.8.3 | Login: itd logged in.
2013-08-15 09:15:03 | 172.16.8.3 | Logout: itd logged out.
2013-08-15 09:18:48 | 172.16.8.17 | Login: rrls logged in.
2013-08-15 09:19:02 | 172.16.8.17 | Logout: rrls logged out.
2013-08-15 09:19:08 | 172.16.8.17 | Login: rrls logged in.
2013-08-15 10:26:08 | 172.16.8.17 | Logout: rrls logged out.
2013-08-15 10:26:13 | 172.16.8.17 | Login: rrls logged in.
2013-08-15 10:26:41 | 172.16.8.17 | Logout: rrls logged out.
2013-08-15 10:26:45 | 172.16.8.17 | Login: jhomel logged in.
2013-08-15 10:42:47 | 172.16.8.17 | Logout: jhomel logged out.
2013-08-15 10:43:33 | 172.16.8.17 | Login: rrls logged in.
2013-08-15 11:42:39 | 172.16.8.17 | Login: rrls logged in.
2013-08-15 13:27:02 | 172.16.8.10 | Login: shyr logged in.
2013-08-15 14:01:00 | 172.16.8.10 | Logout: shyr logged out.
2013-08-15 14:01:05 | 172.16.8.10 | Login: cob logged in.
2013-08-15 14:04:54 | 172.16.8.10 | Logout: cob logged out.
2013-08-15 14:05:04 | 172.16.8.10 | Login: ceo logged in.
2013-08-15 14:05:25 | 172.16.8.10 | Logout: ceo logged out.
2013-08-15 14:05:28 | 172.16.8.10 | Login: shyr logged in.
2013-08-15 14:45:20 | 172.16.8.17 | Login: rrls logged in.
2013-08-15 15:04:21 | 172.16.8.17 | Logout: rrls logged out.
2013-08-15 15:04:28 | 172.16.8.17 | Login: rrls logged in.
2013-08-15 15:11:24 | 172.16.8.10 | Logout: shyr logged out.
2013-08-15 15:11:28 | 172.16.8.10 | Login: ceo logged in.
2013-08-15 15:12:29 | 172.16.8.10 | Logout: ceo logged out.
2013-08-15 15:12:35 | 172.16.8.10 | Login: archie logged in.
2013-08-15 15:12:59 | 172.16.8.10 | Logout: archie logged out.
2013-08-15 15:13:02 | 172.16.8.10 | Login: shyr logged in.
2013-08-15 15:13:54 | 172.16.8.10 | Logout: shyr logged out.
2013-08-15 15:14:00 | 172.16.8.10 | Login: archie logged in.
2013-08-15 15:14:25 | 172.16.8.10 | Logout: archie logged out.
2013-08-15 15:14:41 | 172.16.8.10 | Login: purchasing logged in.
2013-08-15 15:15:26 | 172.16.8.10 | Logout: purchasing logged out.
2013-08-15 15:15:33 | 172.16.8.10 | Login: shyr logged in.
2013-08-15 15:15:53 | 172.16.8.10 | Logout: shyr logged out.
2013-08-15 15:15:57 | 172.16.8.10 | Login: itd logged in.
2013-08-15 15:16:34 | 172.16.8.10 | Logout: itd logged out.
2013-08-15 15:16:41 | 172.16.8.10 | Login: acc logged in.
2013-08-15 15:16:52 | 172.16.8.10 | Logout: acc logged out.
2013-08-15 15:16:57 | 172.16.8.17 | Login: jhomel logged in.
2013-08-15 15:16:59 | 172.16.8.10 | Login: purchasing logged in.
2013-08-15 15:30:30 | 172.16.8.10 | Logout: purchasing logged out.
2013-08-15 15:30:43 | 172.16.8.10 | Login: acc logged in.
2013-08-15 15:31:26 | 172.16.8.10 | Logout: acc logged out.
2013-08-15 15:31:47 | 172.16.8.10 | Login: rrls logged in.
2013-08-15 15:36:05 | 172.16.8.10 | Logout: rrls logged out.
2013-08-15 15:36:12 | 172.16.8.10 | Login: ceo logged in.
2013-08-15 15:49:29 | 172.16.8.10 | Logout: ceo logged out.
2013-08-15 15:49:37 | 172.16.8.10 | Login: cob logged in.
2013-08-15 15:51:20 | 172.16.8.10 | Logout: cob logged out.
2013-08-15 15:51:41 | 172.16.8.10 | Login: purchasing logged in.
2013-08-15 15:52:24 | 172.16.8.10 | Logout: purchasing logged out.
2013-08-15 15:52:31 | 172.16.8.10 | Login: ceo logged in.
2013-08-15 15:52:50 | 172.16.8.10 | Logout: ceo logged out.
2013-08-15 15:52:53 | 172.16.8.10 | Login: shyr logged in.
2013-08-15 15:57:33 | 172.16.8.17 | Logout: jhomel logged out.
2013-08-15 15:57:42 | 172.16.8.17 | Login: purchasing logged in.
2013-08-15 16:01:12 | 172.16.8.17 | Logout: rrls logged out.
2013-08-15 16:01:19 | 172.16.8.17 | Login: ceo logged in.
2013-08-15 16:12:10 | 172.16.8.17 | Logout: ceo logged out.
2013-08-15 16:12:17 | 172.16.8.17 | Login: rrls logged in.
2013-08-15 16:13:49 | 172.16.8.10 | Logout: shyr logged out.
2013-08-15 16:14:00 | 172.16.8.10 | Login: ceo logged in.
2013-08-15 16:14:33 | 172.16.8.10 | Logout: ceo logged out.
2013-08-15 16:14:37 | 172.16.8.10 | Login: shyr logged in.
2013-08-15 16:24:21 | 172.16.8.10 | Logout: shyr logged out.
2013-08-15 16:24:25 | 172.16.8.10 | Login: ssds log-in failed.
2013-08-15 16:24:47 | 172.16.8.10 | Login: aaa log-in failed.
2013-08-15 16:25:21 | 172.16.8.10 | Login: shyr logged in.
