2013-08-16 08:49:15 | 172.16.8.10 | Login: shyr log-in failed.
2013-08-16 08:49:22 | 172.16.8.10 | Login: shyr log-in successfull.
2013-08-16 09:03:02 | 172.16.8.17 | Login: rrls log-in successfull.
2013-08-16 09:05:30 | 172.16.8.17 | Logout: rrls logged out.
2013-08-16 09:05:33 | 172.16.8.17 | Login: ceo log-in successfull.
2013-08-16 09:05:42 | 172.16.8.17 | Login: rrls log-in successfull.
2013-08-16 09:06:37 | 172.16.8.17 | Logout: rrls logged out.
2013-08-16 09:06:40 | 172.16.8.17 | Login: ceo log-in failed.
2013-08-16 09:06:48 | 172.16.8.17 | Login: rrls log-in successfull.
2013-08-16 09:08:17 | 172.16.8.17 | Logout: rrls logged out.
2013-08-16 09:08:24 | 172.16.8.17 | Login: purchasing log-in successfull.
2013-08-16 09:10:48 | 172.16.8.17 | Logout: purchasing logged out.
2013-08-16 09:10:52 | 172.16.8.17 | Login: rrls log-in successfull.
2013-08-16 09:14:07 | 172.16.8.17 | Logout: rrls logged out.
2013-08-16 09:14:19 | 172.16.8.17 | Login: purchasing log-in successfull.
2013-08-16 09:17:11 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-16 09:21:04 | 172.16.8.3 | Logout: rrls logged out.
2013-08-16 09:21:07 | 172.16.8.3 | Login: bong log-in successfull.
2013-08-16 09:21:11 | 172.16.8.3 | Logout: bong logged out.
2013-08-16 09:21:15 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-16 09:24:27 | 172.16.8.17 | Logout: purchasing logged out.
2013-08-16 09:24:37 | 172.16.8.17 | Login: rrls log-in successfull.
2013-08-16 09:29:04 | 172.16.8.3 | Logout: rrls logged out.
2013-08-16 09:29:08 | 172.16.8.3 | Login: archie log-in successfull.
2013-08-16 09:30:29 | 172.16.8.3 | Logout: archie logged out.
2013-08-16 09:30:31 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-16 09:34:59 | 172.16.8.3 | Logout: itd logged out.
2013-08-16 09:35:01 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-16 09:35:12 | 172.16.8.3 | Logout: itd logged out.
2013-08-16 09:35:16 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-16 09:40:17 | 172.16.8.3 | Logout: rrls logged out.
2013-08-16 09:40:20 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-16 09:41:46 | 172.16.8.3 | Logout: itd logged out.
2013-08-16 09:41:56 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-16 09:42:43 | 172.16.8.10 | Logout: shyr logged out.
2013-08-16 09:42:48 | 172.16.8.10 | Login: ceo log-in failed.
2013-08-16 09:42:54 | 172.16.8.10 | Login: rrls log-in successfull.
2013-08-16 09:45:24 | 172.16.8.10 | Logout: rrls logged out.
2013-08-16 09:45:30 | 172.16.8.10 | Login: shyr log-in successfull.
2013-08-16 10:12:43 | 172.16.8.3 | Logout: rrls logged out.
2013-08-16 10:12:47 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-16 10:18:31 | 172.16.8.3 | Logout: rrls logged out.
2013-08-16 10:18:34 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-16 10:22:43 | 172.16.8.10 | Logout: shyr logged out.
2013-08-16 10:22:51 | 172.16.8.10 | Login: rrls log-in successfull.
2013-08-16 10:26:43 | 172.16.8.17 | Logout: rrls logged out.
2013-08-16 10:26:49 | 172.16.8.17 | Login: itd log-in successfull.
2013-08-16 10:30:20 | 172.16.8.17 | Logout: itd logged out.
2013-08-16 10:30:27 | 172.16.8.17 | Login: archie log-in successfull.
2013-08-16 10:31:51 | 172.16.8.17 | Logout: archie logged out.
2013-08-16 10:31:57 | 172.16.8.17 | Login: noc log-in successfull.
2013-08-16 10:41:00 | 172.16.8.17 | Logout: noc logged out.
2013-08-16 10:41:06 | 172.16.8.17 | Login: itd log-in successfull.
2013-08-16 10:41:55 | 172.16.8.17 | Logout: itd logged out.
