2013-08-19 09:01:31 | 172.16.8.10 | Login: rrls log-in successfull.
2013-08-19 09:10:01 | 172.16.8.3 | Login: archie log-in successfull.
2013-08-19 09:21:12 | 172.16.8.3 | Logout: archie logged out.
2013-08-19 09:21:16 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 09:27:30 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 09:27:33 | 172.16.8.3 | Login: ceo log-in failed.
2013-08-19 09:28:00 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 09:48:38 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 09:48:42 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 09:48:58 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 09:49:03 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 10:52:43 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 10:52:46 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 11:18:08 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 11:18:11 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 11:27:17 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 11:27:24 | 172.16.8.3 | Login: archie log-in successfull.
2013-08-19 11:28:11 | 172.16.8.3 | Logout: archie logged out.
2013-08-19 11:28:15 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 11:30:22 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 11:30:26 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-19 11:31:03 | 172.16.8.3 | Logout: itd logged out.
2013-08-19 11:31:09 | 172.16.8.3 | Login: rrls log-in successfull.
2013-08-19 11:33:07 | 172.16.8.3 | Logout: rrls logged out.
2013-08-19 11:33:10 | 172.16.8.3 | Login: archie log-in successfull.
2013-08-19 11:42:29 | 172.16.8.3 | Logout: archie logged out.
2013-08-19 11:42:31 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-19 11:48:01 | 172.16.8.3 | Logout: itd logged out.
2013-08-19 11:48:05 | 172.16.8.3 | Login: archie log-in successfull.
2013-08-19 11:48:13 | 172.16.8.3 | Logout: archie logged out.
2013-08-19 11:48:15 | 172.16.8.3 | Login: itd log-in successfull.
2013-08-19 11:48:53 | 172.16.8.3 | Logout: itd logged out.
